id,emp_id,year,cl_limit,ml_limit,od_limit,comp_limit,lop_limit,created_at,updated_at,from_month,to_month,permission_limit
1427,216,2,12,12,10,6,30,2026-03-10 05:02:37.023279,2026-03-10 05:02:37.023279,,,2
1428,216,20,12,12,10,6,30,2026-03-10 05:02:37.123398,2026-03-10 05:02:37.123398,,,2
1429,1196,202,12,12,10,6,30,2026-03-10 05:02:37.166081,2026-03-10 05:02:37.166081,,,2
1430,1119,202,12,12,10,6,30,2026-03-10 05:02:37.243076,2026-03-10 05:02:37.243076,,,2
1432,186,202,12,12,10,6,30,2026-03-10 05:02:37.489073,2026-03-10 05:02:37.489073,,,2
1433,1127,202,12,12,10,6,30,2026-03-10 05:02:37.580134,2026-03-10 05:02:37.580134,,,2
1434,1196,2025,12,12,10,6,30,2026-03-10 05:02:37.645094,2026-03-22 04:41:06.793649,2025-06,2026-06,2
1435,1124,202,12,12,10,6,30,2026-03-10 05:02:37.659068,2026-03-10 05:02:37.659068,,,2
1436,1119,2025,12,12,10,6,30,2026-03-10 05:02:37.80907,2026-03-22 04:41:07.496006,2025-06,2026-06,2
1439,818,202,12,12,10,6,30,2026-03-10 05:02:37.925165,2026-03-10 05:02:37.925165,,,2
1440,186,2025,12,12,10,6,30,2026-03-10 05:02:37.98707,2026-03-22 04:31:35.290174,2025-03,2026-03,2
1442,1127,2025,12,12,10,6,30,2026-03-10 05:02:38.127159,2026-03-22 04:41:07.693125,2025-06,2026-06,2
1444,1124,2025,12,12,10,6,30,2026-03-10 05:02:38.21923,2026-03-22 04:41:07.59021,2025-06,2026-06,2
1445,1006,202,12,12,10,6,30,2026-03-10 05:02:38.242087,2026-03-10 05:02:38.242087,,,2
1447,108,202,12,12,10,6,30,2026-03-10 05:02:38.329096,2026-03-10 05:02:38.329096,,,2
1448,818,2025,12,12,10,6,30,2026-03-10 05:02:38.405056,2026-03-22 04:41:08.086299,2025-06,2026-06,2
1449,1133,202,12,12,10,6,30,2026-03-10 05:02:38.449123,2026-03-10 05:02:38.449123,,,2
1451,1199,202,12,12,10,6,30,2026-03-10 05:02:38.540138,2026-03-10 05:02:38.540138,,,2
1453,216,202,12,12,10,6,30,2026-03-10 05:02:38.644103,2026-03-10 05:02:38.644103,,,2
1454,1006,2025,12,12,10,6,30,2026-03-10 05:02:38.65105,2026-03-22 04:31:34.890763,2025-03,2026-03,2
1456,1133,2025,12,12,10,6,30,2026-03-10 05:02:38.897188,2026-03-22 04:28:41.900426,2025-03,2026-03,2
1457,1199,2025,12,12,10,6,30,2026-03-10 05:02:38.977068,2026-03-22 04:31:35.391752,2025-03,2026-03,2
1458,216,2025,12,12,10,6,30,2026-03-10 05:02:39.125181,2026-03-22 04:41:08.596477,2025-06,2026-06,2
2115,1196,203,12,12,10,6,30,2026-03-10 09:05:55.771924,2026-03-10 09:05:55.771924,,,2
2118,1119,203,12,12,10,6,30,2026-03-10 09:05:55.846775,2026-03-10 09:05:55.846775,,,2
2121,802,203,12,12,10,6,30,2026-03-10 09:05:55.906947,2026-03-10 09:05:55.906947,,,2
2124,186,203,12,12,10,6,30,2026-03-10 09:05:56.006829,2026-03-10 09:05:56.006829,,,2
2127,1127,203,12,12,10,6,30,2026-03-10 09:05:56.086772,2026-03-10 09:05:56.086772,,,2
2129,1124,203,12,12,10,6,30,2026-03-10 09:05:56.171624,2026-03-10 09:05:56.171624,,,2
2131,101,203,12,12,10,6,30,2026-03-10 09:05:56.226225,2026-03-10 09:05:56.226225,,,2
2133,818,203,12,12,10,6,30,2026-03-10 09:05:56.346937,2026-03-10 09:05:56.346937,,,2
2135,5045,203,12,12,10,6,30,2026-03-10 09:05:56.531277,2026-03-10 09:05:56.531277,,,2
2136,1006,203,12,12,10,6,30,2026-03-10 09:05:56.62725,2026-03-10 09:05:56.62725,,,2
2137,108,203,12,12,10,6,30,2026-03-10 09:05:56.79143,2026-03-10 09:05:56.79143,,,2
2138,1133,203,12,12,10,6,30,2026-03-10 09:05:56.856575,2026-03-10 09:05:56.856575,,,2
2139,1199,203,12,12,10,6,30,2026-03-10 09:05:56.901466,2026-03-10 09:05:56.901466,,,2
2140,216,203,12,12,10,6,30,2026-03-10 09:05:57.012182,2026-03-10 09:05:57.012182,,,2
5092,5001,2026,12,12,10,6,30,2026-03-13 04:36:11.303661,2026-03-25 04:09:04.907994,2026-03,2026-03,2
5347,130,2026,12,12,10,6,30,2026-03-16 13:53:50.842188,2026-03-25 04:09:01.112764,2026-03,2026-03,2
5362,916,2026,12,12,10,6,30,2026-03-16 23:56:59.400713,2026-03-25 04:09:09.107898,2026-03,2026-03,2
5363,984,2026,12,12,10,6,30,2026-03-16 23:56:59.469342,2026-03-25 04:09:10.820468,2026-03,2026-03,2
5366,912,2026,12,12,10,6,30,2026-03-16 23:56:59.665596,2026-03-25 04:09:08.73228,2026-03,2026-04,2
5369,1173,2026,12,12,10,6,30,2026-03-16 23:56:59.859848,2026-03-25 04:08:59.591639,2026-03,2026-03,2
5370,1087,2026,12,12,10,6,30,2026-03-16 23:56:59.925881,2026-03-25 04:08:55.227235,2026-03,2026-04,2
5371,1097,2026,12,12,10,6,30,2026-03-16 23:56:59.989971,2026-03-25 04:08:56.364923,2026-03,2026-03,2
5373,1134,2026,12,12,10,6,30,2026-03-16 23:57:00.119579,2026-03-25 04:08:58.832926,2026-03,2026-03,2
5374,1116,2026,12,12,10,6,30,2026-03-16 23:57:00.18357,2026-03-25 04:08:57.312611,2026-03,2026-03,2
5375,848,2026,12,12,10,6,30,2026-03-16 23:57:00.248304,2026-03-25 04:09:07.407427,2026-03,2026-04,2
5376,103,2026,12,12,10,6,30,2026-03-16 23:57:00.313241,2026-03-25 04:08:54.469774,2026-03,2026-03,2
5378,911,2026,12,12,10,6,30,2026-03-16 23:57:00.443995,2026-03-25 04:09:08.540756,,,2
5380,1112,2026,12,12,10,6,30,2026-03-16 23:57:00.573167,2026-03-25 04:08:56.933826,2026-03,2026-03,2
5381,36,2026,12,12,10,6,30,2026-03-16 23:57:00.637293,2026-03-25 04:09:03.95877,2026-03,2026-03,2
5382,69,2026,12,12,10,6,30,2026-03-16 23:57:00.702786,2026-03-25 04:09:05.890694,2026-03,2026-04,2
